datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
2009-01-02,BA,33.94110107421875,32.103405526664254,34.17362677463901,32.08840359167005,7010200,0.021352542687414627,68.34095373949994,273.4086962249459,27.645797008123555,0.0
2009-01-05,BA,34.63117218017578,34.12862024451739,35.1112255058107,33.6035639761826,6917400,0.02850506565468056,70.50447908349592,237.32409191356598,29.059959636601008,0.0
2009-01-06,BA,34.736183166503906,35.14122392762626,35.25373699874851,34.128617732831,7180300,0.03390266195885457,70.83114893875265,176.34740724545418,30.43686290811869,0.0
2009-01-07,BA,33.573551177978516,33.82857827698398,34.21112035615503,33.13100423739038,6586200,0.03476964703676614,62.56880846024701,95.13599951796517,30.512874301213248,0.0
2009-01-08,BA,33.5960578918457,33.37853417343543,33.67856708581691,32.91348573443748,5477000,0.03507384398231209,62.659613951016425,70.02063481523876,30.33963197345485,0.0
2009-01-09,BA,33.341033935546875,33.60356061277452,33.86609015132836,32.95099225700423,5645100,0.034262449251635234,60.85804846923056,58.8554441723357,30.29964374217807,0.0
2009-01-12,BA,32.8084716796875,33.21351234978008,33.341027325815716,32.395925752506585,4989200,0.03192308219700175,57.16195057439985,30.775424006709194,29.615643317443958,0.0
2009-01-13,BA,31.848371505737305,32.538446060443995,32.71846351901033,31.353319202691033,6359400,0.027375980448982103,51.13280326994656,-11.2099099523518,27.913863173970483,0.0
2009-01-14,BA,30.90327262878418,31.413326862506587,31.488333659860977,30.655745047128054,7354900,0.02117258128250183,45.99045013653343,-58.58451428259193,26.124762480226114,0.0
2009-01-15,BA,30.723255157470703,30.80576435900508,31.20330557222397,29.635639327049365,8464900,0.01561073388563897,45.06087602978583,-83.89356778182578,25.255524599310206,0.0
2009-01-16,BA,31.848371505737305,31.090792550062673,32.2909184782579,30.783260102129777,9310800,0.013872376185508059,51.64002722429417,-38.09672289523071,23.50507507985211,0.0
2009-01-20,BA,30.273202896118164,31.563340288300505,32.05839254275932,30.15319031507741,9636800,0.0084099972153159,43.742270446225355,-86.49579279597481,22.357661247804458,0.0
2009-01-21,BA,31.70586395263672,30.565742656211487,31.80337509847826,30.00318297542232,6933100,0.007624652000069173,51.0718223356877,-72.69469453745893,21.404557183458127,0.0
2009-01-22,BA,31.698352813720703,31.300811664542916,32.06589296280399,30.880766188637114,6590800,0.006903667466273426,51.034281472939135,-50.00506570407811,20.27788299002722,0.0
