,0
0,1033811.8279664698
1,1028756.2321521225
2,1026832.2878272296
3,1046845.0180867334
4,1052215.5213763283
5,1057008.3654489042
6,1057912.4321884175
7,1067691.3462777005
8,1066948.5235523826
9,1069069.8156916457
10,1067416.4540211966
11,1077275.9137255761
12,1071240.260695417
13,1076099.6324650706
14,1071925.949950737
15,1074157.4799145393
16,1070804.197091781
17,1067789.3203560791
18,1067175.5479470692
19,1061266.972582661
20,1057932.199768324
21,1061386.0539607604
22,1062225.3027343042
23,1069202.8186142535
24,1071561.5248176784
25,1071597.8768591736
26,1069401.0456445345
27,1074790.031779612
28,1075837.5050283005
29,1078203.4014923468
30,1074046.0712425895
31,1076096.9784447197
32,1078760.8549624977
33,1072960.5575445963
34,1072631.8304366493
35,1072986.9008772846
36,1071122.0755986057
37,1068442.167827516
38,1064889.7058922474
39,1071128.065722297
40,1066339.915745997
41,1062587.2445753715
42,1064267.1938966464
43,1068369.5013601552
44,1075065.57126202
45,1073653.4151312136
46,1073553.3247891036
47,1047746.7889599744
48,1061089.6394165717
49,1043234.4686011582
50,1040412.5270575567
51,1049987.1743590266
52,1045681.2878449265
53,1042913.4055332736
54,1039158.1934997293
55,1050908.9533651348
56,1055276.4148421923
57,1050522.3143252744
58,1042695.9510735183
59,1051309.1989041043
60,1068511.7552231275
61,1061080.2909789602
62,1071446.419954369
