,0
0,1369971.2420075177
1,1370020.0399470625
2,1373576.0760806678
3,1374004.0139294963
4,1377151.4331424695
5,1377937.1258640941
6,1375368.0004469939
7,1383891.8796726263
8,1400482.0344799664
9,1412838.065844408
10,1434976.3385983494
11,1416459.683233188
12,1419897.1101923229
13,1415366.8806727752
14,1428441.042340231
15,1422755.1622944023
16,1429085.8479216734
17,1446232.4089353657
18,1432297.9886741708
19,1430491.0457159001
20,1433464.7135138258
21,1443115.1511171297
22,1440881.8098153945
23,1425085.361609402
24,1419984.8596780542
25,1421173.1441962733
26,1446777.9195974446
27,1453001.5369621352
28,1444773.2879686856
29,1475737.0236500253
30,1479037.127431116
31,1484236.1516483037
32,1473335.0546466627
33,1481846.165847869
34,1490762.027979879
35,1489949.6378736563
36,1490172.6799311175
37,1486785.9822038955
38,1491679.0989676605
39,1485668.1018576294
40,1481213.6827522449
41,1474986.032162884
42,1467794.2654828352
43,1469749.6353296603
44,1475245.626836023
45,1465015.2833855827
46,1472272.7157267148
47,1466336.4117331163
48,1471862.2700744816
49,1478625.575104824
50,1478694.966916369
51,1466826.9981771149
52,1473985.6073946105
53,1443353.9959167524
54,1442004.1528327903
55,1454450.642693114
56,1449812.1666614416
57,1454333.1470421494
58,1462976.239127728
59,1484801.2474900926
60,1433832.9849415536
61,1432399.1570007042
62,1432399.1570007042
