,0
0,1431770.4289488131
1,1431646.5639894188
2,1431512.4309424537
3,1431512.4309424537
4,1431512.4309424537
5,1431512.4309424537
6,1431512.4309424537
7,1431512.4309424537
8,1431512.4309424537
9,1431512.4309424537
10,1431512.4309424537
11,1431512.4309424537
12,1431512.4309424537
13,1431512.4309424537
14,1431512.4309424537
15,1431512.4309424537
16,1431512.4309424537
17,1431512.4309424537
18,1431512.4309424537
19,1431512.4309424537
20,1431512.4309424537
21,1431512.4309424537
22,1431512.4309424537
23,1431512.4309424537
24,1431512.4309424537
25,1431512.4309424537
26,1431512.4309424537
27,1431512.4309424537
28,1431512.4309424537
29,1431512.4309424537
30,1431512.4309424537
31,1431512.4309424537
32,1431512.4309424537
33,1431512.4309424537
34,1431512.4309424537
35,1431512.4309424537
36,1431512.4309424537
37,1431512.4309424537
38,1431512.4309424537
39,1431512.4309424537
40,1431512.4309424537
41,1431512.4309424537
42,1431512.4309424537
43,1431512.4309424537
44,1431512.4309424537
45,1431512.4309424537
46,1431512.4309424537
47,1431512.4309424537
48,1431512.4309424537
49,1431512.4309424537
50,1431512.4309424537
51,1431512.4309424537
52,1431512.4309424537
53,1431512.4309424537
54,1431512.4309424537
55,1431512.4309424537
56,1431512.4309424537
57,1431917.836158503
58,1433236.2229882744
59,1434086.7707737072
60,1435559.517386877
61,1439250.5146028574
62,1437404.8659668914
