,0
0,-812.5221863241168
1,-1923.9443248929456
2,20012.73025950382
3,5370.503289594897
4,4792.844072575914
5,904.066739513306
6,9778.914089282975
7,-742.8227253179066
8,2121.292139263125
9,-1653.3616704491433
10,9859.459704379551
11,-6035.653030159185
12,4859.371769653633
13,-4173.682514333632
14,2231.5299638023134
15,-3353.282822758192
16,-3014.876735701924
17,-613.77240900998
18,-5908.575364408083
19,-3334.772814337164
20,3453.85419243644
21,839.2487735438626
22,6977.515879949322
23,2358.7062034248374
24,36.35204149526544
25,-2196.8312146391254
26,5388.98613507743
27,1047.473248688504
28,2365.8964640463237
29,-4157.330249757273
30,2050.9072021301836
31,2663.8765177780297
32,-5800.297417901456
33,-328.7271079469938
34,355.07044063531794
35,-1864.825278678909
36,-2679.90777108958
37,-3552.461935268715
38,6238.359830049565
39,-4788.149976299843
40,-3752.671170625603
41,1679.9493212748785
42,4102.307463508798
43,6696.069901864743
44,-1412.15613080631
45,-100.0903421100229
46,-25806.535829129163
47,13342.850456597283
48,-17855.17081541347
49,-2821.9415436015697
50,9574.64730146993
51,-4305.88651410013
52,-2767.88231165288
53,-3755.212033544318
54,11750.759865405504
55,4367.461477057543
56,-4754.1005169178825
57,-7826.363251756178
58,8613.247830586042
59,17202.55631902325
60,-7431.46424416732
61,10366.12897540885
