,0
0,1105577.5365296004
1,1107135.5821632328
2,1096522.1530386843
3,1096606.764393922
4,1092019.6468746117
5,1102006.9145151163
6,1109283.7459760453
7,1111155.0492699393
8,1109190.9302798845
9,1115080.6432905067
10,1117616.4881588635
11,1116623.0850755433
12,1108875.4689451237
13,1107168.258551948
14,1109134.4601409815
15,1110091.9017109363
16,1105398.7009246447
17,1094925.6145736938
18,1087175.959970566
19,1096768.438558071
20,1094893.4950873458
21,1091979.7169485444
22,1089138.901496083
23,1093789.0008085219
24,1096772.5433246866
25,1105241.5014051355
26,1086073.517416343
27,1089844.8187246753
28,1078295.2675331233
29,1088205.1650992169
30,1077120.8311217132
31,1073943.9611938535
32,1084257.7230356112
33,1082310.141697132
34,1081030.4887181001
35,1092177.3391582952
36,1095674.7685272354
37,1096333.4504672682
38,1098023.6685420016
39,1091330.4328749052
40,1090372.4391302804
41,1088140.4670581075
42,1083233.7812919458
43,1091872.1598957651
44,1092936.2524453944
45,1096931.349167368
46,1099165.2533491724
47,1097054.7786441438
48,1092350.251353361
49,1085787.516133749
50,1084582.221014528
51,1087572.7917000984
52,1081695.4954823137
53,1087352.977713511
54,1091154.8416870523
55,1085593.6003820635
56,1092597.0214838814
57,1062853.003518832
58,1045897.4769376194
59,1063382.5087751735
60,1082656.3296096055
61,1094548.5804334066
62,1093891.8949076058
