,0
0,1499162.00731946
1,1498635.6597654761
2,1498490.3004185793
3,1498490.3004185793
4,1498490.3004185793
5,1498490.3004185793
6,1498490.3004185793
7,1498490.3004185793
8,1498490.3004185793
9,1498490.3004185793
10,1498490.3004185793
11,1498490.3004185793
12,1498490.3004185793
13,1498490.3004185793
14,1498490.3004185793
15,1498490.3004185793
16,1498490.3004185793
17,1498490.3004185793
18,1498490.3004185793
19,1498490.3004185793
20,1498490.3004185793
21,1498490.3004185793
22,1498490.3004185793
23,1498490.3004185793
24,1498490.3004185793
25,1498490.3004185793
26,1498490.3004185793
27,1498490.3004185793
28,1497874.685953905
29,1497694.340763635
30,1497694.340763635
31,1497694.340763635
32,1497694.340763635
33,1497694.340763635
34,1497694.340763635
35,1497694.340763635
36,1497694.340763635
37,1497694.340763635
38,1497694.340763635
39,1497694.340763635
40,1497694.340763635
41,1497694.340763635
42,1497694.340763635
43,1497694.340763635
44,1497694.340763635
45,1497694.340763635
46,1497694.340763635
47,1497694.340763635
48,1497694.340763635
49,1497694.340763635
50,1497694.340763635
51,1497694.340763635
52,1497694.340763635
53,1497694.340763635
54,1497694.340763635
55,1497694.340763635
56,1497694.340763635
57,1497694.340763635
58,1497694.340763635
59,1497694.340763635
60,1497694.340763635
61,1497694.340763635
62,1497694.340763635
