,0
0,1358474.5514854426
1,1358921.1409213077
2,1361286.6850649307
3,1364345.4344522052
4,1359477.0204984928
5,1365488.5074055842
6,1369923.8720612423
7,1372903.0538774685
8,1374893.5595769782
9,1377932.2268992555
10,1369092.7182511431
11,1366439.4245322838
12,1362823.108690734
13,1378189.2853827719
14,1385361.1913863113
15,1395269.9896193282
16,1388512.6679031244
17,1378169.2865316933
18,1388339.9641985975
19,1379675.2528232853
20,1378295.6124524546
21,1378295.6124524546
22,1378295.6124524546
23,1378295.6124524546
24,1378295.6124524546
25,1378295.6124524546
26,1378295.6124524546
27,1378295.6124524546
28,1378295.6124524546
29,1378295.6124524546
30,1378295.6124524546
31,1378295.6124524546
32,1378295.6124524546
33,1378295.6124524546
34,1378295.6124524546
35,1377666.2623056837
36,1378678.01229424
37,1382157.264261297
38,1380832.8049278632
39,1380983.1980559595
40,1375566.691000184
41,1374743.8672066368
42,1374743.8672066368
43,1374970.597449768
44,1374430.2537778462
45,1372113.7896294135
46,1371719.603273105
47,1372946.9667386832
48,1372323.4077275903
49,1372323.4077275903
50,1372323.4077275903
51,1372323.4077275903
52,1373722.0878389769
53,1373580.452017962
54,1374879.0019933116
55,1376350.200631963
56,1372702.0531232904
57,1371044.3389424337
58,1367163.265705961
59,1368127.518663112
60,1367392.16784207
61,1367392.16784207
62,1367392.16784207
