,0
0,1497694.340763635
1,1497343.2333622533
2,1497331.0964086945
3,1497277.122603092
4,1496900.6156509658
5,1496744.0468633582
6,1496744.0468633582
7,1496744.0468633582
8,1496744.0468633582
9,1496744.0468633582
10,1496744.0468633582
11,1496744.0468633582
12,1496744.0468633582
13,1496744.0468633582
14,1496744.0468633582
15,1496744.0468633582
16,1496744.0468633582
17,1496744.0468633582
18,1496744.0468633582
19,1496744.0468633582
20,1496744.0468633582
21,1496744.0468633582
22,1496744.0468633582
23,1496744.0468633582
24,1496744.0468633582
25,1496744.0468633582
26,1496744.0468633582
27,1496744.0468633582
28,1496744.0468633582
29,1496744.0468633582
30,1496744.0468633582
31,1496744.0468633582
32,1496744.0468633582
33,1493119.2319829043
34,1485621.8577739943
35,1485408.4099859933
36,1485408.4099859933
37,1484712.415681138
38,1484636.2878695752
39,1484636.2878695752
40,1484636.2878695752
41,1484636.2878695752
42,1484636.2878695752
43,1484636.2878695752
44,1484636.2878695752
45,1484636.2878695752
46,1484636.2878695752
47,1484636.2878695752
48,1484636.2878695752
49,1484636.2878695752
50,1484636.2878695752
51,1484636.2878695752
52,1484636.2878695752
53,1484636.2878695752
54,1484636.2878695752
55,1484636.2878695752
56,1484636.2878695752
57,1484636.2878695752
58,1484636.2878695752
59,1484636.2878695752
60,1484636.2878695752
61,1484636.2878695752
62,1484636.2878695752
