,0
0,1438104.764366982
1,1437653.0061473204
2,1437507.5513485186
3,1437507.5513485186
4,1437507.5513485186
5,1437507.5513485186
6,1437507.5513485186
7,1437507.5513485186
8,1437507.5513485186
9,1437507.5513485186
10,1437507.5513485186
11,1437507.5513485186
12,1437507.5513485186
13,1437507.5513485186
14,1437507.5513485186
15,1437507.5513485186
16,1437507.5513485186
17,1437507.5513485186
18,1437507.5513485186
19,1437507.5513485186
20,1437507.5513485186
21,1437507.5513485186
22,1437507.5513485186
23,1437507.5513485186
24,1437507.5513485186
25,1437507.5513485186
26,1437507.5513485186
27,1437507.5513485186
28,1437507.5513485186
29,1437507.5513485186
30,1437507.5513485186
31,1437507.5513485186
32,1437507.5513485186
33,1437507.5513485186
34,1437507.5513485186
35,1437507.5513485186
36,1437507.5513485186
37,1437169.3000948026
38,1438318.59221563
39,1442395.8633546005
40,1441880.9541579334
41,1441778.841114106
42,1453435.6245474098
43,1465482.2946812182
44,1452929.6702878634
45,1452149.4241359683
46,1452149.4241359683
47,1452149.4241359683
48,1452149.4241359683
49,1452149.4241359683
50,1452149.4241359683
51,1452149.4241359683
52,1452149.4241359683
53,1452149.4241359683
54,1452149.4241359683
55,1452149.4241359683
56,1452149.4241359683
57,1452149.4241359683
58,1452149.4241359683
59,1452149.4241359683
60,1452149.4241359683
61,1452149.4241359683
62,1452149.4241359683
