,0
0,1182950.2556395263
1,1177221.7122442285
2,1180410.8034959624
3,1179618.9195395042
4,1180506.2347335652
5,1180648.7241157691
6,1176466.2923161422
7,1169386.564566995
8,1179853.3290772436
9,1167999.603811842
10,1165900.340197886
11,1175938.0669119698
12,1173708.2008535955
13,1182259.129528115
14,1201253.856049699
15,1199798.03178856
16,1202445.290885456
17,1200925.370993471
18,1198286.0133414082
19,1197087.7344617122
20,1196840.1260395886
21,1197215.8459400118
22,1198219.7519947872
23,1198516.6937997027
24,1198109.1776710842
25,1198109.1776710842
26,1198109.1776710842
27,1197688.4549122578
28,1197563.2838009663
29,1197563.2838009663
30,1197563.2838009663
31,1197563.2838009663
32,1197563.2838009663
33,1197563.2838009663
34,1197396.6632738516
35,1198181.9364574845
36,1197946.763511958
37,1197919.3182998628
38,1197883.0157631277
39,1198712.2609233232
40,1200199.6405372806
41,1202811.1350734038
42,1201160.9478301103
43,1196931.6436280024
44,1197716.6009265874
45,1197832.5287311347
46,1204659.7082074834
47,1205160.5469111986
48,1208211.8705024973
49,1210476.0189212593
50,1212680.0706295478
51,1215689.5956468692
52,1221543.4791521411
53,1220447.9357583425
54,1223164.469032191
55,1223196.3586809142
56,1228235.890543856
57,1227397.8953824777
58,1218752.6124370233
59,1224355.8292594964
60,1211275.2102513893
61,1225949.4127175964
62,1230642.7883938348
