,0
0,2740.7226245063357
1,3785.2960896783043
2,60.78706767573021
3,-3298.7636434258893
4,2232.597818127135
5,5129.554825357627
6,-2437.109961939743
7,4045.0214797218796
8,7133.516329809325
9,7781.817298105685
10,4278.689060053555
11,6382.888543088455
12,4060.3993524038233
13,-7505.093883003108
14,8819.22471852065
15,-5371.197594873607
16,4749.617085145321
17,3288.5482273830567
18,-1001.2675520451739
19,724.3891762518324
20,1129.3403527569026
21,5297.713067608653
22,1460.4264907876495
23,2226.80000418541
24,3487.9000730093103
25,-4447.627273174003
26,-9901.529999370221
27,885.2108163840603
28,4270.908110973658
29,4854.348486117087
30,-7970.599794376874
31,4124.835241779918
32,-8038.173942900728
33,3385.3936478584073
34,8165.958681528922
35,2001.9090338975657
36,-931.3442378086038
37,1623.2764113435987
38,19127.583923262544
39,2578.579242074862
40,16951.776968448423
41,6135.507496893639
42,3606.013684762176
43,-1351.2341577666812
44,-938.7701995093375
45,-3291.8701328309253
46,3175.088941290509
47,1850.308180903783
48,722.018909070408
49,9879.586730876705
50,-3998.9348692549393
51,9682.198983436916
52,5550.024162848946
53,-98.17794286552817
54,-3757.774458799977
55,878.3598224462476
56,-1097.042842793744
57,1574.9724759790115
58,5531.103035038803
59,3271.572118099779
60,-5347.734414746519
61,2165.60230654059
