,0
0,-262.2859164000256
1,-2975.378408165183
2,-5665.529972737888
3,-2455.8087948852917
4,1343.7764469585381
5,2619.1273982683197
6,-13035.856426238548
7,7247.757106067613
8,-13976.620816599345
9,828.9064526166767
10,-11183.389823054662
11,6694.74048929452
12,15798.295857273275
13,-12466.5611238532
14,15491.1925214855
15,-10814.947454837384
16,9073.36009370035
17,22180.853874117718
18,-3091.424050683272
19,-15447.68825756386
20,8754.121636921307
21,1721.4947610701201
22,-17243.972334204707
23,-5285.631635663332
24,-977.8298607765464
25,-427.6231158217415
26,-2071.613656442496
27,3626.156114977435
28,3587.8419692827156
29,3957.335899623693
30,-2283.8233781885356
31,-416.12922952964436
32,7283.3655932630645
33,-5675.912029158324
34,3257.15566440206
35,9508.695317044156
36,-3970.7191671084147
37,-7147.807401926024
38,17102.423478653887
39,985.1539812213741
40,1406.3442346625961
41,2950.0203466626117
42,1795.2101076976396
43,777.3552642061841
44,3337.348542316933
45,-954.5061077446444
46,13238.725488741882
47,-666.2267405398889
48,2450.87624394428
49,4477.305929027381
50,8260.407563852496
51,4990.054323539021
52,-545.5773283828748
53,-1789.521975244279
54,-1984.2028949967353
55,-58.34390445705503
56,3247.087758440757
57,1895.731986498693
58,6726.8382741941605
59,-1481.1655827681534
60,4687.014044474112
61,-2676.997002587421
