,0
0,1157195.7785088054
1,1149985.1660174509
2,1152289.3979065476
3,1154149.2541887197
4,1156208.2288620728
5,1163048.8746025441
6,1163862.3849947662
7,1168650.2417407858
8,1169118.0664890243
9,1166934.0412993548
10,1173437.491972147
11,1172053.3976881097
12,1171059.5885358101
13,1169308.4371746937
14,1168936.3053652637
15,1198765.2044562015
16,1219897.0032522082
17,1218677.1243143042
18,1218843.3029157664
19,1218287.7166205766
20,1219061.7693403666
21,1218947.3377013765
22,1219073.1734614496
23,1218573.4645681106
24,1217210.6904721302
25,1214881.3342746887
26,1210707.666809754
27,1211916.3871755854
28,1216560.3723126468
29,1216401.6645724792
30,1219493.3148319481
31,1206898.2715188642
32,1205170.972186712
33,1206431.6260391236
34,1217701.8024176722
35,1214538.4683986162
36,1212374.9269680076
37,1211952.1926412834
38,1213845.896636972
39,1222439.9414146754
40,1224900.7648046443
41,1225451.1347375133
42,1225298.2044089152
43,1208009.1109302416
44,1203719.7236986326
45,1207015.6076352336
46,1208826.714630989
47,1219718.3360118465
48,1218502.1664713263
49,1221203.0262353404
50,1231762.6558959365
51,1238679.2025750703
52,1246253.9395630753
53,1250088.2001610075
54,1256863.9566578045
55,1254479.1566893805
56,1254609.1488678555
57,1249299.697737683
58,1245836.2014467763
59,1250196.6245877123
60,1250483.030264556
61,1249855.0866044716
62,1258922.6626494427
