,0
0,-6014.662016297923
1,-10607.702062903903
2,66.5532367110718
3,-11097.836349155754
4,-7080.13600097131
5,6221.47346827318
6,-4716.392327924492
7,758.9982833925169
8,7375.243840142619
9,-1741.636709925253
10,-8776.173175287666
11,10075.538818465779
12,-4819.316906475928
13,-199.66926201572642
14,3538.143256293377
15,1716.8966519404203
16,-635.2793784423266
17,-5926.311721638078
18,-2725.094792073127
19,-8002.6764795472845
20,7352.033082565991
21,1711.5549836556893
22,-1451.5364188123494
23,-1519.7503213940654
24,-1928.6511244939175
25,6205.143479032209
26,5269.881105722394
27,4579.035346667748
28,971.1790027681272
29,10521.689354226692
30,-1169.9912898442708
31,-540.0867385840975
32,2532.848886649823
33,-4332.955765968654
34,4239.488801783882
35,-3160.735843807226
36,1978.5427683603484
37,-137.37276486190967
38,17784.50560292974
39,-3679.320183801232
40,-4281.92070217547
41,-4022.1258943255525
42,-2798.902280519018
43,-8706.287393708946
44,4780.782919525867
45,4210.053753908025
46,-3310.7079663740005
47,-3176.72936095763
48,7748.5371117156465
49,-1866.2969076950103
50,-658.50471395161
51,-1427.697011933662
52,-5313.408683853922
53,240.29224074282683
54,-1535.0544426711276
55,-3414.6891562091187
56,-1003.599045335548
57,6570.631578773959
58,-2116.5424630711786
59,6021.535035336623
60,-7870.716120978119
61,-382.4921087101102
