,0
0,-12198.597071989905
1,270.0850095988717
2,13000.118229948683
3,-5385.002264590468
4,8626.760110533563
5,-2691.3157619631384
6,10732.34939978947
7,9616.96016029804
8,-1113.2820633319207
9,-1004.9344603570644
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,536.60812567221
29,-99.74455541372299
30,-209.10553357517347
31,3893.6561703574844
32,-1764.6861758541781
33,168.0321478904225
34,-2051.4730312789325
35,-485.1842876414303
36,-9668.011021099752
37,8180.4360796632245
38,-9845.883476543706
39,7167.000823219074
40,4842.39098234917
41,115.63630648469552
42,16072.81431817729
43,1402.4882391244173
44,3420.164240152575
45,4188.073756722733
46,-1333.841088490095
47,0.0
48,34.22369815269485
49,-1348.280329497531
50,-2144.6828933467623
51,-374.9371429476887
52,-1.4622260387986898
53,-2246.270874542417
54,1404.2859689705074
55,-6004.1923421411775
56,-566.5446240566671
57,-478.81677834736183
58,0.0
59,0.0
60,0.0
61,0.0
