,0
0,1412906.3907375194
1,1401050.1377048134
2,1403204.2203056314
3,1416305.5113802894
4,1410321.4991841633
5,1418177.8472475403
6,1413498.0404797648
7,1420260.5129751018
8,1429135.9540008889
9,1413949.5357093604
10,1412917.3582563193
11,1412917.3582563193
12,1412917.3582563193
13,1412917.3582563193
14,1412917.3582563193
15,1412917.3582563193
16,1412917.3582563193
17,1412917.3582563193
18,1412917.3582563193
19,1412917.3582563193
20,1412917.3582563193
21,1412917.3582563193
22,1412917.3582563193
23,1412917.3582563193
24,1412917.3582563193
25,1412917.3582563193
26,1412917.3582563193
27,1412917.3582563193
28,1412917.3582563193
29,1413350.0910291616
30,1413214.022611885
31,1412475.7824025322
32,1413564.9969386696
33,1412841.298299952
34,1412784.7889812891
35,1411307.1222304204
36,1410823.5410914994
37,1402903.903936668
38,1409429.992013723
39,1403509.1466556108
40,1410573.5496651707
41,1414378.941242892
42,1414040.6869302718
43,1421927.3096251683
44,1421808.765214756
45,1423972.1781170645
46,1421489.489138408
47,1420515.4322857154
48,1420515.4322857154
49,1420458.3071463432
50,1419519.95605407
51,1417784.904561243
52,1417497.904557887
53,1417274.507912054
54,1415614.8210287266
55,1416811.381451919
56,1412422.0674479045
57,1412861.2506430042
58,1412514.8945902633
59,1412514.8945902633
60,1412514.8945902633
61,1412514.8945902633
62,1412514.8945902633
