,0
0,1423941.1345626407
1,1423393.7366914297
2,1423293.903001044
3,1423293.903001044
4,1423293.903001044
5,1423293.903001044
6,1423293.903001044
7,1424053.4628646576
8,1423960.3549803332
9,1426331.6283907038
10,1426200.357901479
11,1426200.357901479
12,1426200.357901479
13,1426200.357901479
14,1426200.357901479
15,1426200.357901479
16,1426200.357901479
17,1426200.357901479
18,1426200.357901479
19,1426200.357901479
20,1426200.357901479
21,1426200.357901479
22,1426200.357901479
23,1426200.357901479
24,1426200.357901479
25,1426200.357901479
26,1426200.357901479
27,1426200.357901479
28,1426200.357901479
29,1426200.357901479
30,1426200.357901479
31,1426200.357901479
32,1426200.357901479
33,1426200.357901479
34,1426200.357901479
35,1426200.357901479
36,1426200.357901479
37,1426200.357901479
38,1426200.357901479
39,1426200.357901479
40,1426200.357901479
41,1426200.357901479
42,1426200.357901479
43,1426200.357901479
44,1426200.357901479
45,1426200.357901479
46,1426200.357901479
47,1426200.357901479
48,1426200.357901479
49,1426200.357901479
50,1426200.357901479
51,1426200.357901479
52,1426200.357901479
53,1426200.357901479
54,1426200.357901479
55,1426200.357901479
56,1426200.357901479
57,1426200.357901479
58,1426200.357901479
59,1426200.357901479
60,1426200.357901479
61,1426200.357901479
62,1426200.357901479
