,0
0,1325940.0326146742
1,1336839.0601881123
2,1351475.4723375845
3,1350124.0004135885
4,1350124.0004135885
5,1350124.0004135885
6,1350124.0004135885
7,1350124.0004135885
8,1350124.0004135885
9,1350124.0004135885
10,1350124.0004135885
11,1350124.0004135885
12,1350124.0004135885
13,1350124.0004135885
14,1350124.0004135885
15,1350124.0004135885
16,1350124.0004135885
17,1350124.0004135885
18,1350124.0004135885
19,1350124.0004135885
20,1350124.0004135885
21,1350124.0004135885
22,1350124.0004135885
23,1350124.0004135885
24,1350124.0004135885
25,1350124.0004135885
26,1350124.0004135885
27,1350124.0004135885
28,1350124.0004135885
29,1350124.0004135885
30,1350124.0004135885
31,1350124.0004135885
32,1350124.0004135885
33,1350124.0004135885
34,1350124.0004135885
35,1350124.0004135885
36,1350124.0004135885
37,1350124.0004135885
38,1350124.0004135885
39,1350124.0004135885
40,1350124.0004135885
41,1350124.0004135885
42,1350124.0004135885
43,1350124.0004135885
44,1350124.0004135885
45,1350124.0004135885
46,1350124.0004135885
47,1350124.0004135885
48,1350124.0004135885
49,1350124.0004135885
50,1350124.0004135885
51,1349004.7316761392
52,1349667.9101891874
53,1349229.9204268728
54,1344276.0448250193
55,1341442.7420296706
56,1346819.9841637956
57,1343776.8737674116
58,1344520.4559046284
59,1347061.4023317478
60,1338062.650533226
61,1344643.830006079
62,1349220.8731946745
