,0
0,1139595.5782592795
1,1133027.5498562383
2,1122419.8477933344
3,1122486.4010300455
4,1111388.5646808897
5,1104308.4286799184
6,1110529.9021481916
7,1105813.509820267
8,1106572.5081036596
9,1113947.7519438022
10,1112206.115233877
11,1103429.9420585893
12,1113505.480877055
13,1108686.1639705792
14,1108486.4947085634
15,1112024.6379648568
16,1113741.5346167972
17,1113106.255238355
18,1107179.9435167168
19,1104454.8487246437
20,1096452.1722450964
21,1103804.2053276624
22,1105515.760311318
23,1104064.2238925057
24,1102544.4735711117
25,1100615.8224466178
26,1106820.96592565
27,1112090.8470313724
28,1116669.88237804
29,1117641.0613808082
30,1128162.750735035
31,1126992.7594451907
32,1126452.6727066066
33,1128985.5215932564
34,1124652.5658272877
35,1128892.0546290716
36,1125731.3187852644
37,1127709.8615536247
38,1127572.4887887628
39,1145356.9943916926
40,1141677.6742078913
41,1137395.7535057159
42,1133373.6276113903
43,1130574.7253308713
44,1121868.4379371624
45,1126649.2208566882
46,1130859.2746105962
47,1127548.5666442222
48,1124371.8372832646
49,1132120.3743949803
50,1130254.0774872852
51,1129595.5727733336
52,1128167.8757614
53,1122854.467077546
54,1123094.7593182889
55,1121559.7048756178
56,1118145.0157194086
57,1117141.416674073
58,1123712.048252847
59,1121595.5057897759
60,1127617.0408251125
61,1119746.3247041344
62,1119363.8325954243
